Date,act_heat_index,act_heat_index_smart,animal_activity,heat_index,low_pass_over_activity,percentile60_of_5day_temp,stomach_temp,temp_dec_index,temp_height_index,temp_inc_index,temp_without_drink_cycles,CowID,temp_without_drink_cycles_std,Session,AnimalId,Activity(steps/hr),ActivityAverage(steps/hr),ActivityDeviation(%),Yield(gr),YieldAverage(gr),YieldDeviation(%),Fat(%),FatAverage(%),FatDeviation(%),Protein(%),ProteinAverage(%),ProteinDeviation(%),Conductivity,ConductivityAverage,ConductivityDeviation(%),Lactose(%),LactoseAverage(%),LactoseDeviation(%),SCC (*1000/ml),SCCAverage (*1000/ml),SCCDeviation(%),AMT(seconds),AMTAverage(seconds),AMTDeviation(%),Blood(%),BloodAverage(%),BloodDeviation(%),ProductionRate(gr/hr),ProductionRateAverage(gr/hr),ProductionRateDeviation(%),RestBout(#),RestBoutAverage(#),RestBoutDeviation(%),Restlessness,RestlessnessAverage,RestlessnessDeviation(%),RestPerBout(min),RestPerBoutAverage(min),RestPerBoutDeviation(%),RestRatio(%),RestRatioAverage(%),RestRatioDeviation(%),RestTime(min),RestTimeAverage(min),RestTimeDeviation(%),Weight(gr),WeightAverage(gr),WeightDeviation(%)
2018-12-05,2.3518888888888894,0.23830555555555563,4.2436875,,9.93922916666667,40.0,,0.0,-0.4265000000000005,0.0,39.573124999999976,11719,0.2688292898159329,1,11719.0,135.0,164.0,-18.0,7910.0,6136.0,29.0,4.78,4.38,9.0,2.63,3.19,-18.0,8.6,9.1,-5.0,5.09,5.06,1.0,18.0,229614.0,-100.0,165.0,155.0,6.0,0.0,0.0,,983.0,836.0,18.0,4.0,4.0,0.0,32.0,22.0,45.0,41.0,66.0,-38.0,34.0,54.0,-37.0,163.0,258.0,-37.0,,,
2018-12-06,4.047527777777779,0.3591805555555559,4.648680555555556,,10.875958333333337,40.0,,0.021333333333333333,-0.5939513888888891,0.026847222222222227,39.405625000000015,11719,0.37192509726023276,2,11719.0,151.0,165.0,-8.5,18433.0,12994.0,41.5,4.495,4.405,2.0,2.725,3.0149999999999997,-9.5,8.9,9.05,-1.5,4.965,4.965,0.0,116022.0,1368900.5,-26.0,183.0,162.0,13.0,0.015,0.01,-100.0,1149.0,852.5,34.5,5.5,4.0,37.5,30.5,31.0,7.0,38.5,59.5,-35.0,43.5,48.0,-9.0,212.0,231.0,-6.5,,,
2018-12-07,1.2156666666666665,0.17628472222222222,4.077729166666665,,9.311430555555555,39.90513888888887,,0.011916666666666666,-0.23484722222222215,0.16470833333333335,39.66993055555556,11719,0.29530000515720023,3,11719.0,126.33333333333333,153.66666666666666,-18.0,26949.0,20285.0,33.0,4.576666666666667,4.38,4.666666666666667,2.6266666666666665,2.9333333333333336,-10.0,8.566666666666668,9.1,-6.0,5.043333333333333,4.966666666666668,1.6666666666666667,569672.0,973939.0,441.6666666666667,168.33333333333334,164.33333333333334,2.3333333333333335,0.0,0.0,,1115.6666666666667,867.0,29.0,4.666666666666667,4.0,16.666666666666668,25.0,31.0,-19.0,46.0,56.333333333333336,-17.666666666666668,44.333333333333336,46.666666666666664,-5.333333333333333,214.33333333333334,220.33333333333334,-3.3333333333333335,,,
2018-12-08,1.4372916666666669,0.09155555555555553,4.3422638888888905,,9.875076388888889,39.725763888888906,,0.15554166666666666,-0.4620625000000003,0.00011805555555555556,39.26333333333334,11719,0.3739320457318057,3,11719.0,130.66666666666666,142.0,-8.0,29992.0,21924.0,37.0,4.716666666666666,4.346666666666667,8.333333333333334,2.6666666666666665,2.84,-6.0,8.733333333333333,9.033333333333333,-3.0,4.983333333333333,4.9366666666666665,1.0,4686435.0,105589.66666666667,4400.333333333333,170.66666666666666,165.0,3.6666666666666665,0.0,0.0,,1262.0,914.6666666666666,38.333333333333336,3.3333333333333335,4.0,-16.666666666666668,20.333333333333332,30.0,-28.666666666666668,78.66666666666667,55.0,43.0,54.666666666666664,46.0,19.666666666666668,261.3333333333333,218.66666666666666,21.0,,,
2018-12-09,5.284034722222226,0.47319444444444464,4.649868055555556,,10.64225694444445,39.64590277777792,,0.17862500000000003,-0.32788194444444463,0.0037083333333333334,39.31763888888891,11719,0.31631175670235223,3,11719.0,134.33333333333334,135.66666666666666,-0.6666666666666666,29373.0,23455.0,25.333333333333332,4.543333333333333,4.403333333333333,3.0,2.7900000000000005,2.7733333333333334,0.6666666666666666,8.733333333333334,8.9,-1.6666666666666667,5.003333333333333,4.976666666666667,0.3333333333333333,564942.0,190948.0,404.0,178.0,166.0,7.0,0.0,0.0,,1217.0,977.0,24.666666666666668,3.6666666666666665,4.0,-8.333333333333334,30.666666666666668,26.666666666666668,17.333333333333332,58.333333333333336,59.0,-0.3333333333333333,45.666666666666664,48.0,-4.333333333333333,204.0,229.0,-9.666666666666666,,,
2018-12-10,5.2239375,0.642340277777778,4.31438888888889,,10.201666666666659,39.586527777777754,,0.2599583333333334,-0.4514236111111114,0.002472222222222223,39.13444444444444,11719,0.27116371278208123,1,11719.0,171.0,139.0,23.0,9834.0,8326.0,18.0,4.31,4.57,-6.0,2.59,2.75,-6.0,8.6,8.8,-2.0,5.05,5.02,1.0,195434110.0,237320.0,82250.0,164.0,168.0,-2.0,0.0,0.0,,1261.0,1072.0,18.0,3.0,4.0,-25.0,31.0,25.0,24.0,64.0,59.0,8.0,46.0,48.0,-4.0,192.0,228.0,-16.0,,,
2018-12-11,4.3898263888888875,0.4993263888888888,4.621333333333332,,10.50617361111111,39.51923611111121,,0.16737499999999997,-0.31625,0.05427777777777777,39.20312500000003,11719,0.37561784766238154,2,11719.0,118.5,122.5,-3.5,20680.0,17596.0,17.5,4.48,4.595,-2.5,2.83,2.74,3.5,8.399999999999999,8.85,-5.0,4.975,4.97,0.0,219735.0,49706.0,683.5,180.0,165.5,9.0,0.0,0.0,,1297.5,1085.5,19.5,5.5,4.0,37.5,21.0,24.0,-12.5,45.5,53.5,-15.0,49.0,47.5,3.0,251.0,228.0,10.0,,,
2018-12-12,8.185145833333332,0.8962361111111117,4.709104166666666,,11.069069444444445,39.45395833333337,,0.09895833333333336,-0.28791666666666693,0.022812500000000003,39.16576388888889,11719,0.29050614104966604,2,11719.0,141.0,137.0,3.0,20960.0,18312.0,14.5,4.109999999999999,4.555,-9.5,2.73,2.725,0.0,8.3,8.7,-4.5,5.0649999999999995,5.01,1.0,5197653.5,240310.5,2161.0,199.5,170.0,17.5,0.0,0.0,,1279.5,1144.5,12.0,4.0,4.5,-12.5,30.0,25.5,17.0,51.0,54.0,-4.0,48.5,46.5,4.5,210.0,221.5,-5.0,,,
2018-12-13,4.723250000000003,0.5087916666666671,4.661694444444444,,10.847534722222223,39.39847222222217,,0.03400000000000001,-0.22003472222222234,0.012472222222222223,39.17805555555558,11719,0.3200093481540546,3,11719.0,122.0,130.33333333333334,-5.666666666666667,32789.0,28381.0,15.666666666666666,4.09,4.546666666666667,-10.0,2.7399999999999998,2.72,1.0,8.5,8.666666666666666,-1.6666666666666667,4.946666666666666,4.989999999999999,-1.0,11402238.666666666,257959.66666666666,4267.0,193.66666666666666,171.33333333333334,13.0,0.0,0.0,,1374.3333333333333,1180.3333333333333,16.666666666666668,7.333333333333333,4.333333333333333,71.66666666666667,20.666666666666668,25.0,-18.333333333333332,37.0,52.666666666666664,-29.333333333333332,52.333333333333336,47.333333333333336,10.666666666666666,264.3333333333333,225.0,17.0,,,
2018-12-14,6.22127777777778,0.6056250000000001,4.9017777777777765,,11.265180555555553,39.3999305555555,,0.0006666666666666666,-0.14753472222222225,0.07956250000000002,39.25208333333334,11719,0.266486791023886,2,11719.0,138.5,129.5,6.0,21221.0,19260.0,10.0,4.145,4.485,-7.5,2.86,2.73,5.0,9.399999999999999,8.6,9.0,4.9,5.005,-2.0,563494.0,292383.0,116.5,204.0,175.0,17.0,0.0,0.0,,1355.0,1215.0,11.5,5.0,4.5,15.0,21.0,25.5,-17.5,45.0,52.5,-14.5,53.5,48.0,11.5,222.5,230.0,-1.5,,,
2018-12-15,1.4030416666666663,0.1490972222222222,4.426888888888886,,10.228965277777776,39.39798611111111,,0.015541666666666669,-0.22777777777777786,0.017527777777777778,39.16986111111114,11719,0.3731757232660281,3,11719.0,121.0,128.33333333333334,-6.333333333333333,33168.0,30107.0,10.333333333333334,4.086666666666667,4.423333333333334,-7.666666666666667,2.9433333333333334,2.7366666666666664,7.333333333333333,8.533333333333333,8.566666666666666,-0.3333333333333333,4.903333333333333,4.986666666666667,-1.6666666666666667,130220.0,581611.3333333334,-83.33333333333333,202.33333333333334,178.0,14.0,0.0,0.0,,1385.3333333333333,1253.3333333333333,10.333333333333334,4.333333333333333,4.666666666666667,-8.333333333333334,25.666666666666668,24.333333333333332,0.6666666666666666,58.0,50.666666666666664,16.666666666666668,49.666666666666664,49.0,0.3333333333333333,225.33333333333334,231.33333333333334,-4.666666666666667,,,
