Date,act_heat_index,act_heat_index_smart,animal_activity,heat_index,low_pass_over_activity,percentile60_of_5day_temp,stomach_temp,temp_dec_index,temp_height_index,temp_inc_index,temp_without_drink_cycles,CowID,temp_without_drink_cycles_std,Session,AnimalId,Activity(steps/hr),ActivityAverage(steps/hr),ActivityDeviation(%),Yield(gr),YieldAverage(gr),YieldDeviation(%),Fat(%),FatAverage(%),FatDeviation(%),Protein(%),ProteinAverage(%),ProteinDeviation(%),Conductivity,ConductivityAverage,ConductivityDeviation(%),Lactose(%),LactoseAverage(%),LactoseDeviation(%),SCC (*1000/ml),SCCAverage (*1000/ml),SCCDeviation(%),AMT(seconds),AMTAverage(seconds),AMTDeviation(%),Blood(%),BloodAverage(%),BloodDeviation(%),ProductionRate(gr/hr),ProductionRateAverage(gr/hr),ProductionRateDeviation(%),RestBout(#),RestBoutAverage(#),RestBoutDeviation(%),Restlessness,RestlessnessAverage,RestlessnessDeviation(%),RestPerBout(min),RestPerBoutAverage(min),RestPerBoutDeviation(%),RestRatio(%),RestRatioAverage(%),RestRatioDeviation(%),RestTime(min),RestTimeAverage(min),RestTimeDeviation(%),Weight(gr),WeightAverage(gr),WeightDeviation(%)
2018-09-29,1.9724791666666661,0.20536111111111136,4.962666666666667,,11.712548611111115,40.0,,0.0,0.23953472222222214,0.2337847222222222,40.239652777777806,9134,0.5440773458929393,3,9134.0,161.66666666666666,155.33333333333334,3.3333333333333335,46311.0,38908.0,19.0,4.163333333333333,4.2700000000000005,-2.3333333333333335,2.6633333333333336,2.9066666666666667,-7.666666666666667,9.0,9.433333333333332,-4.333333333333333,4.8966666666666665,4.866666666666666,0.3333333333333333,2292602.6666666665,493355.6666666667,861.6666666666666,205.0,200.66666666666666,2.3333333333333335,0.0,0.016666666666666666,-100.0,1925.3333333333333,1599.6666666666667,20.0,4.333333333333333,5.333333333333333,-19.0,33.0,30.0,14.0,51.0,46.666666666666664,9.0,43.333333333333336,48.666666666666664,-10.333333333333334,215.33333333333334,228.66666666666666,-4.666666666666667,,,
2018-09-30,0.11036805555555557,0.020819444444444446,4.596583333333331,,10.280708333333335,40.0,,0.0,0.07865972222222214,0.1054861111111111,40.07874999999998,9134,0.44885849780187786,3,9134.0,160.33333333333334,154.33333333333334,3.0,43302.0,41621.0,4.0,4.3966666666666665,4.293333333333333,2.3333333333333335,2.81,2.823333333333333,-0.3333333333333333,8.966666666666667,9.266666666666667,-3.3333333333333335,4.86,4.8999999999999995,-1.0,1090376.6666666667,534225.0,369.3333333333333,203.0,198.0,3.0,0.0,0.0,,1813.0,1700.6666666666667,6.666666666666667,4.0,5.333333333333333,-25.666666666666668,38.0,31.333333333333332,17.0,48.666666666666664,47.666666666666664,1.3333333333333333,40.666666666666664,47.0,-14.666666666666666,195.33333333333334,228.66666666666666,-16.0,,,
2018-10-01,0.7979236111111111,0.06436111111111113,4.582076388888887,,10.302923611111115,40.0,,0.008333333333333333,0.15516666666666662,0.05840972222222223,40.15541666666663,9134,0.5323846275094659,3,9134.0,151.33333333333334,153.66666666666666,-1.0,50731.0,43185.0,17.666666666666668,4.169999999999999,4.183333333333334,-0.3333333333333333,2.78,2.733333333333333,1.3333333333333333,8.966666666666667,9.100000000000001,-1.3333333333333333,4.823333333333333,4.933333333333334,-2.0,1026658.6666666666,859665.6666666666,21.0,221.33333333333334,200.0,10.666666666666666,0.0,0.0,,2124.0,1772.0,20.0,2.6666666666666665,4.666666666666667,-43.333333333333336,38.666666666666664,32.0,19.333333333333332,69.33333333333333,48.333333333333336,43.333333333333336,37.666666666666664,46.333333333333336,-19.0,174.0,221.0,-22.0,,,
2018-10-02,1.3086111111111114,0.10551388888888891,4.674027777777777,,10.610958333333336,40.0,,0.021208333333333333,0.22210416666666669,0.046138888888888896,40.2222916666667,9134,0.4402712430792138,3,9134.0,154.66666666666666,158.0,-1.3333333333333333,50092.0,44451.0,13.0,4.1000000000000005,4.170000000000001,-2.0,2.6133333333333333,2.733333333333333,-4.333333333333333,9.233333333333333,9.0,2.6666666666666665,4.833333333333333,4.913333333333333,-1.6666666666666667,10864934.333333334,1273447.3333333333,647.0,217.33333333333334,204.0,6.666666666666667,0.006666666666666667,0.0,,2082.6666666666665,1832.0,13.666666666666666,3.0,4.333333333333333,-31.666666666666668,36.333333333333336,33.333333333333336,10.666666666666666,63.0,51.333333333333336,26.0,36.0,45.0,-19.666666666666668,180.33333333333334,213.0,-14.666666666666666,,,
2018-10-03,0.9877430555555559,0.0833263888888889,4.582812499999999,,10.152430555555553,40.0,,0.09879166666666667,0.03559027777777779,0.0758125,40.03555555555556,9134,0.3895232477380028,3,9134.0,155.0,158.33333333333334,-2.0,47255.0,46569.0,1.6666666666666667,4.073333333333333,4.17,-2.3333333333333335,2.6966666666666668,2.723333333333333,-1.0,9.066666666666666,9.033333333333333,0.3333333333333333,4.77,4.886666666666667,-2.3333333333333335,69052.66666666667,1273447.3333333333,-93.66666666666667,215.33333333333334,206.66666666666666,5.0,0.0,0.0,,1957.0,1932.3333333333333,2.0,2.3333333333333335,4.333333333333333,-46.666666666666664,40.0,34.333333333333336,12.0,74.66666666666667,51.666666666666664,44.333333333333336,36.333333333333336,43.333333333333336,-17.333333333333332,175.33333333333334,207.0,-16.666666666666668,,,
2018-10-04,0.6508819444444442,0.03899305555555557,4.246930555555555,,9.655402777777784,40.0,,0.06941666666666667,0.09306944444444448,0.03034722222222223,40.09305555555552,9134,0.3751648174451346,3,9134.0,158.0,158.66666666666666,-0.3333333333333333,46678.0,47306.0,-1.0,4.066666666666667,4.156666666666667,-2.0,2.686666666666667,2.706666666666667,-0.6666666666666666,9.0,9.1,-1.0,4.816666666666666,4.859999999999999,-1.0,1100793.0,1706750.6666666667,-40.666666666666664,212.33333333333334,206.66666666666666,3.0,0.0,0.0,,1962.3333333333333,1975.6666666666667,0.0,3.0,4.0,-20.666666666666668,43.666666666666664,35.0,17.666666666666668,61.666666666666664,55.333333333333336,14.333333333333334,37.333333333333336,42.0,-13.333333333333334,165.0,202.0,-20.0,,,
2018-10-05,10.093895833333333,1.6945833333333342,4.854916666666666,,10.98202083333333,40.0,,0.05808333333333332,0.06251388888888884,0.017083333333333332,40.06263888888891,9134,0.3708278135311166,3,9134.0,158.33333333333334,157.66666666666666,0.6666666666666666,48473.0,47320.0,2.3333333333333335,3.91,4.16,-6.0,2.6999999999999997,2.716666666666667,-0.3333333333333333,9.1,9.066666666666666,0.3333333333333333,4.71,4.836666666666666,-2.6666666666666665,2676421.3333333335,1498955.6666666667,146.0,224.66666666666666,208.33333333333334,8.0,0.03,0.0,,2024.3333333333333,1972.0,2.6666666666666665,3.0,3.3333333333333335,-11.0,45.666666666666664,36.666666666666664,22.333333333333332,58.333333333333336,55.333333333333336,5.0,32.333333333333336,40.333333333333336,-20.333333333333332,169.33333333333334,191.66666666666666,-14.0,,,
2018-10-06,0.4348194444444445,0.054493055555555545,4.255326388888886,,9.584548611111112,40.0,,0.021125,0.23338194444444454,0.24400694444444454,40.23361111111107,9134,0.47673659160774956,3,9134.0,155.66666666666666,156.33333333333334,0.0,53715.0,47228.0,13.666666666666666,4.163333333333334,4.1466666666666665,0.3333333333333333,2.736666666666667,2.7100000000000004,1.3333333333333333,9.366666666666665,9.033333333333333,3.3333333333333335,4.72,4.836666666666666,-2.3333333333333335,2169467.0,1269285.6666666667,249.66666666666666,245.0,208.33333333333334,17.666666666666668,0.0,0.0,,2214.0,1970.6666666666667,12.666666666666666,3.3333333333333335,3.3333333333333335,0.0,36.666666666666664,37.333333333333336,0.0,56.0,58.0,-3.6666666666666665,38.0,39.333333333333336,-4.666666666666667,182.33333333333334,188.66666666666666,-3.3333333333333335,,,
2018-10-07,0.31969444444444445,0.019131944444444444,4.227131944444442,,9.494333333333335,40.0,,0.059,0.06795833333333329,0.004020833333333333,40.068125,9134,0.39718056831389714,3,9134.0,148.66666666666666,155.66666666666666,-4.333333333333333,53202.0,47548.0,12.0,3.67,4.123333333333334,-10.666666666666666,2.716666666666667,2.7099999999999995,0.0,9.5,9.033333333333333,5.0,4.743333333333333,4.816666666666666,-1.3333333333333333,2828264.3333333335,1218070.0,228.33333333333334,232.0,214.0,8.666666666666666,0.0,0.0,,2229.3333333333335,1984.0,12.0,2.3333333333333335,3.3333333333333335,-27.666666666666668,32.0,37.666666666666664,-4.333333333333333,85.66666666666667,60.0,46.0,40.0,39.0,8.0,193.0,186.66666666666666,10.666666666666666,,,
2018-10-08,2.5236875000000007,0.19718749999999996,4.200916666666667,,9.542625000000005,40.0,,0.10141666666666667,-0.010562500000000008,0.02195138888888888,39.98937499999999,9134,0.41730272547075165,3,9134.0,175.0,155.66666666666666,12.333333333333334,49629.0,48607.0,2.0,3.8000000000000003,4.123333333333334,-8.0,2.7166666666666663,2.716666666666667,0.0,9.466666666666667,9.1,4.0,4.676666666666667,4.79,-2.0,187463.33333333334,989332.3333333334,-46.666666666666664,235.66666666666666,219.66666666666666,7.666666666666667,0.0,0.0,,2039.6666666666667,2025.3333333333333,0.3333333333333333,2.6666666666666665,3.3333333333333335,-16.666666666666668,63.333333333333336,38.333333333333336,83.66666666666667,54.0,63.0,-12.666666666666666,29.666666666666668,37.666666666666664,-16.0,143.33333333333334,183.33333333333334,-15.0,,,
