Date,act_heat_index,act_heat_index_smart,animal_activity,heat_index,low_pass_over_activity,percentile60_of_5day_temp,stomach_temp,temp_dec_index,temp_height_index,temp_inc_index,temp_without_drink_cycles,CowID,temp_without_drink_cycles_std,Session,AnimalId,Activity(steps/hr),ActivityAverage(steps/hr),ActivityDeviation(%),Yield(gr),YieldAverage(gr),YieldDeviation(%),Fat(%),FatAverage(%),FatDeviation(%),Protein(%),ProteinAverage(%),ProteinDeviation(%),Conductivity,ConductivityAverage,ConductivityDeviation(%),Lactose(%),LactoseAverage(%),LactoseDeviation(%),SCC (*1000/ml),SCCAverage (*1000/ml),SCCDeviation(%),AMT(seconds),AMTAverage(seconds),AMTDeviation(%),Blood(%),BloodAverage(%),BloodDeviation(%),ProductionRate(gr/hr),ProductionRateAverage(gr/hr),ProductionRateDeviation(%),RestBout(#),RestBoutAverage(#),RestBoutDeviation(%),Restlessness,RestlessnessAverage,RestlessnessDeviation(%),RestPerBout(min),RestPerBoutAverage(min),RestPerBoutDeviation(%),RestRatio(%),RestRatioAverage(%),RestRatioDeviation(%),RestTime(min),RestTimeAverage(min),RestTimeDeviation(%),Weight(gr),WeightAverage(gr),WeightDeviation(%)
2018-09-29,3.218402777777777,0.7665208333333332,4.128395833333334,,9.798458333333336,40.0,,0.2531666666666667,-0.3376041666666667,6.25e-05,39.66208333333336,11722,0.33289548749480785,2,11722.0,189.5,184.5,2.5,19186.0,17329.0,10.5,5.015000000000001,5.165,-3.0,2.865,2.8,2.5,8.05,8.2,-1.5,4.945,4.825,2.5,565964.0,1235025.0,12.5,202.5,151.5,33.5,0.0,0.005,-100.0,1204.0,1054.0,13.0,2.5,4.5,-45.0,49.0,45.5,7.0,65.0,42.5,53.0,33.5,37.5,-11.0,160.5,178.5,-10.5,,,
2018-09-30,3.5872222222222225,1.2082291666666665,4.278847222222224,,9.876250000000002,40.0,,0.06108333333333332,-0.21863888888888885,0.07688194444444445,39.78118055555555,11722,0.4185965504717184,3,11722.0,201.66666666666666,177.0,13.666666666666666,29294.0,26811.0,9.333333333333334,4.93,4.996666666666667,-1.6666666666666667,2.956666666666667,2.84,4.0,8.033333333333333,8.166666666666666,-1.3333333333333333,4.806666666666667,4.816666666666667,0.0,3564105.0,660630.3333333334,193.33333333333334,188.33333333333334,165.0,14.0,0.0,0.0033333333333333335,-100.0,1223.6666666666667,1087.3333333333333,12.333333333333334,4.0,3.6666666666666665,8.333333333333334,54.333333333333336,44.0,20.666666666666668,42.0,47.0,-11.666666666666666,34.333333333333336,37.666666666666664,-9.666666666666666,163.33333333333334,181.66666666666666,-10.0,,,
2018-10-01,1.6590486111111113,0.3532986111111109,4.13090277777778,,9.808500000000004,39.95451388888879,,0.07558333333333332,-0.27697916666666667,0.05473611111111109,39.67708333333336,11722,0.35932702248913756,3,11722.0,175.33333333333334,183.66666666666666,-3.3333333333333335,29124.0,27622.0,5.666666666666667,4.8,4.966666666666668,-3.3333333333333335,2.6500000000000004,2.8633333333333333,-7.333333333333333,8.066666666666668,8.166666666666666,-1.0,5.0,4.843333333333334,3.3333333333333335,1051033.3333333333,652181.3333333334,36.0,182.66666666666666,175.33333333333334,4.0,0.0,0.006666666666666667,-100.0,1213.3333333333333,1122.3333333333333,8.333333333333334,4.0,3.6666666666666665,11.0,51.0,45.0,21.666666666666668,44.0,47.333333333333336,-1.3333333333333333,33.666666666666664,37.666666666666664,-8.333333333333334,161.33333333333334,180.66666666666666,-9.333333333333334,,,
2018-10-02,5.4198611111111115,2.423701388888887,4.320611111111112,,10.138395833333332,39.935069444444416,,0.016625,-0.20861805555555565,0.05202083333333334,39.72604166666666,11722,0.36386468465799043,3,11722.0,183.33333333333334,188.33333333333334,-1.0,30972.0,28226.0,9.666666666666666,4.6066666666666665,4.96,-7.333333333333333,2.7900000000000005,2.856666666666666,-2.3333333333333335,8.166666666666666,8.1,0.6666666666666666,4.973333333333334,4.843333333333334,3.0,1292867.6666666667,781576.6666666666,29.0,185.0,181.33333333333334,2.0,0.036666666666666674,0.0,,1286.6666666666667,1162.6666666666667,11.0,4.333333333333333,3.6666666666666665,16.666666666666668,50.333333333333336,50.333333333333336,3.3333333333333335,37.0,46.333333333333336,-20.333333333333332,31.0,35.0,-8.666666666666666,147.0,167.66666666666666,-8.666666666666666,,,
2018-10-03,6.46634722222222,1.9431805555555566,4.50059722222222,,10.703548611111112,39.90270833333333,,0.0825,-0.21757638888888883,0.04943055555555555,39.68472222222223,11722,0.36133192698786165,3,11722.0,191.33333333333334,183.66666666666666,4.0,30323.0,28250.0,7.666666666666667,4.626666666666667,4.91,-5.666666666666667,2.8266666666666667,2.8366666666666664,0.3333333333333333,8.133333333333333,8.1,0.3333333333333333,4.8999999999999995,4.88,0.3333333333333333,546115.0,708672.6666666666,1867.6666666666667,182.33333333333334,182.66666666666666,0.0,0.0,0.0,,1262.0,1173.6666666666667,7.666666666666667,3.6666666666666665,3.6666666666666665,0.0,60.666666666666664,47.0,32.666666666666664,37.333333333333336,46.666666666666664,-18.666666666666668,28.333333333333332,36.0,-20.333333333333332,139.33333333333334,172.66666666666666,-18.666666666666668,,,
2018-10-04,1.2266250000000005,0.5875833333333333,4.115333333333333,,9.846020833333329,39.943888888888885,,0.0031666666666666666,0.009805555555555576,0.24934027777777779,39.953541666666666,11722,0.3588510584738935,3,11722.0,163.33333333333334,184.0,-10.333333333333334,30560.0,29067.0,5.333333333333333,4.683333333333334,4.830000000000001,-2.6666666666666665,2.8433333333333337,2.8166666666666664,1.3333333333333333,8.166666666666666,8.1,1.0,4.863333333333333,4.8999999999999995,-0.6666666666666666,226191.33333333334,702950.0,-77.0,193.0,184.0,4.666666666666667,0.03,0.0,,1277.3333333333333,1213.3333333333333,5.333333333333333,4.333333333333333,3.6666666666666665,19.333333333333332,28.666666666666668,48.333333333333336,-41.333333333333336,51.666666666666664,45.333333333333336,14.333333333333334,47.0,35.0,32.666666666666664,226.33333333333334,168.0,33.333333333333336,,,
2018-10-05,1.6812430555555553,0.36670833333333347,4.358159722222222,,10.170638888888886,39.942638888888794,,0.006791666666666667,-0.266236111111111,0.023361111111111114,39.67604166666667,11722,0.3678784740621801,3,11722.0,173.0,182.0,-5.333333333333333,29901.0,29502.0,1.3333333333333333,4.53,4.776666666666667,-5.0,2.7466666666666666,2.8266666666666667,-2.6666666666666665,8.166666666666666,8.1,0.6666666666666666,4.763333333333333,4.8999999999999995,-3.0,47447584.0,321606.0,32763.0,194.66666666666666,186.0,4.333333333333333,0.0,0.0,,1252.3333333333333,1234.0,1.6666666666666667,3.3333333333333335,3.6666666666666665,-8.333333333333334,39.0,47.0,-17.666666666666668,60.0,45.666666666666664,29.666666666666668,36.666666666666664,36.0,2.0,168.0,172.0,-1.3333333333333333,,,
2018-10-06,0.6961319444444444,0.1762083333333332,4.059562499999999,,9.45878472222222,39.92944444444443,,0.18083333333333332,-0.3830902777777781,0.006208333333333334,39.54569444444446,11722,0.30137366806191046,3,11722.0,182.66666666666666,180.66666666666666,1.0,28865.0,29661.0,-3.0,4.483333333333333,4.763333333333333,-6.0,2.73,2.83,-3.3333333333333335,8.0,8.1,-1.0,4.97,4.896666666666667,1.6666666666666667,1108156.0,246538.0,2000.0,181.66666666666666,187.33333333333334,-3.0,0.0,0.0,,1200.3333333333333,1241.0,-3.3333333333333335,3.3333333333333335,3.6666666666666665,-8.333333333333334,50.0,47.0,8.0,44.333333333333336,46.0,-4.0,30.333333333333332,35.666666666666664,-15.0,144.33333333333334,170.0,-14.666666666666666,,,
2018-10-07,0.8828333333333335,0.13361805555555561,4.0110069444444445,,9.522715277777777,39.900347222222166,,0.07441666666666667,-0.1985,0.09377777777777777,39.70152777777778,11722,0.3260943264034333,2,11722.0,143.0,180.0,-20.5,20389.0,19963.0,2.0,4.675,4.755,-1.5,2.895,2.825,2.5,8.149999999999999,8.1,0.5,4.859999999999999,4.895,-0.5,835.0,560121.0,-60.5,192.5,188.5,2.0,0.0,0.0,,1263.5,1241.5,2.0,3.0,3.5,-16.5,30.0,47.5,-40.5,83.0,48.0,73.0,49.5,35.0,37.5,252.0,163.0,49.5,,,
2018-10-08,3.3892986111111107,1.1807569444444441,4.148520833333335,,9.518479166666674,39.89631944444443,,0.063125,-0.2878749999999999,0.02149305555555556,39.608125000000015,11722,0.35374711197516384,3,11722.0,170.66666666666666,178.66666666666666,-4.666666666666667,31878.0,29863.0,6.666666666666667,4.6066666666666665,4.666666666666667,-1.3333333333333333,2.6166666666666667,2.7900000000000005,-6.0,8.066666666666666,8.1,-0.3333333333333333,4.953333333333334,4.8933333333333335,1.3333333333333333,55616208.666666664,846014.0,12227.666666666666,193.33333333333334,186.66666666666666,3.6666666666666665,0.0033333333333333335,0.0,,1302.0,1245.3333333333333,3.5,4.333333333333333,3.6666666666666665,16.666666666666668,37.0,44.333333333333336,-16.333333333333332,47.0,49.666666666666664,-5.333333333333333,39.333333333333336,36.666666666666664,8.333333333333334,198.0,173.33333333333334,14.666666666666666,,,
