Date,act_heat_index,act_heat_index_smart,animal_activity,heat_index,low_pass_over_activity,percentile60_of_5day_temp,stomach_temp,temp_dec_index,temp_height_index,temp_inc_index,temp_without_drink_cycles,CowID,temp_without_drink_cycles_std,Session,AnimalId,Activity(steps/hr),ActivityAverage(steps/hr),ActivityDeviation(%),Yield(gr),YieldAverage(gr),YieldDeviation(%),Fat(%),FatAverage(%),FatDeviation(%),Protein(%),ProteinAverage(%),ProteinDeviation(%),Conductivity,ConductivityAverage,ConductivityDeviation(%),Lactose(%),LactoseAverage(%),LactoseDeviation(%),SCC (*1000/ml),SCCAverage (*1000/ml),SCCDeviation(%),AMT(seconds),AMTAverage(seconds),AMTDeviation(%),Blood(%),BloodAverage(%),BloodDeviation(%),ProductionRate(gr/hr),ProductionRateAverage(gr/hr),ProductionRateDeviation(%),RestBout(#),RestBoutAverage(#),RestBoutDeviation(%),Restlessness,RestlessnessAverage,RestlessnessDeviation(%),RestPerBout(min),RestPerBoutAverage(min),RestPerBoutDeviation(%),RestRatio(%),RestRatioAverage(%),RestRatioDeviation(%),RestTime(min),RestTimeAverage(min),RestTimeDeviation(%),Weight(gr),WeightAverage(gr),WeightDeviation(%)
2018-10-14,2.5572777777777778,0.2433263888888892,4.329138888888889,,9.99388888888889,39.62062500000004,,0.0,-0.14438194444444444,0.03971527777777778,39.476041666666696,9990.0,0.31380413193070633,1,9990,161.0,187.0,-14.0,9082.0,6790.0,34.0,4.13,3.49,18.0,2.83,3.23,-12.0,10.3,10.2,1.0,4.85,4.91,-1.0,4720.0,366795.0,-99.0,184.0,168.0,10.0,0.0,0.07,-100.0,1130.0,,,3.0,6.0,-50.0,21.0,27.0,-22.0,101.0,73.0,38.0,63.0,48.0,31.0,303.0,472.0,-36.0,,,
2018-10-15,1.6138958333333342,0.15193055555555557,4.229506944444444,,9.64010416666667,39.6738194444444,,0.0023750000000000004,-0.18354166666666674,0.08129861111111111,39.49013888888888,9990.0,0.3423591254585901,1,9990,168.0,204.0,-18.0,13037.0,8291.0,57.0,4.86,4.07,19.0,2.85,3.21,-11.0,10.1,10.3,-2.0,4.95,4.63,7.0,254097.0,247380.0,3.0,226.0,193.0,17.0,0.66,0.07,843.0,1669.0,1062.0,57.0,3.0,3.0,0.0,41.0,46.0,-11.0,72.0,78.0,-8.0,40.0,43.0,-7.0,216.0,206.0,5.0,,,
2018-10-16,5.531194444444443,0.6047013888888887,4.34429861111111,,10.151569444444444,39.70097222222208,,0.0013750000000000001,-0.21767361111111128,0.04205555555555556,39.48319444444446,9990.0,0.2721595911332976,2,9990,222.5,191.5,16.0,25958.0,16659.0,57.0,4.495,3.9749999999999996,13.5,2.86,3.145,-9.5,10.1,10.3,-2.0,4.905,4.82,2.0,105232.5,206448.0,115.0,239.5,188.5,27.0,0.0,0.055,-100.0,1646.5,1083.5,52.5,3.0,4.0,-26.5,60.0,34.5,61.5,57.0,76.5,-25.5,36.5,48.0,-26.0,174.0,314.5,-45.5,,,
2018-10-17,2.5474027777777777,0.17371527777777787,4.355125000000003,,10.30038888888889,39.668125000000046,,0.07658333333333335,-0.2822222222222225,0.0,39.385625000000005,9990.0,0.2798693969883595,2,9990,176.0,177.0,-2.0,28476.0,20216.0,41.5,4.055,4.045,1.0,2.9,3.06,-5.0,10.399999999999999,10.350000000000001,0.5,4.869999999999999,5.01,-2.5,95554.5,178657.5,14.5,290.0,211.0,37.0,0.005,0.02,-75.0,1741.0,1318.0,32.5,3.0,3.0,12.5,20.0,28.0,-28.0,93.5,84.0,20.5,58.5,51.0,15.0,281.0,264.5,7.0,,,
2018-10-18,3.0703541666666663,0.3017708333333336,4.371743055555557,,10.185083333333333,39.63625000000005,,0.056666666666666664,-0.2606597222222222,0.02882638888888888,39.375486111111066,9990.0,0.28944081574604796,3,9990,209.0,185.33333333333334,12.333333333333334,42586.0,33165.0,29.666666666666668,4.3999999999999995,4.103333333333333,7.666666666666667,2.58,2.9766666666666666,-13.333333333333334,10.200000000000001,10.266666666666667,-0.6666666666666666,4.95,4.833333333333333,2.3333333333333335,1332994.6666666667,218798.0,396.3333333333333,258.0,223.33333333333334,15.666666666666666,0.049999999999999996,0.04,-6.0,1819.0,1379.0,27.5,2.0,3.0,-30.666666666666668,64.33333333333333,36.0,67.66666666666667,94.66666666666667,87.33333333333333,5.666666666666667,36.333333333333336,48.0,-25.0,174.33333333333334,231.33333333333334,-25.333333333333332,,,
2018-10-19,7.414451388888892,0.9335416666666663,4.455736111111114,,10.311076388888896,39.62111111111105,,0.06616666666666667,-0.20826388888888883,0.16336111111111115,39.41277777777775,9990.0,0.40785031609878536,3,9990,236.66666666666666,185.66666666666666,31.666666666666668,42010.0,35890.0,17.333333333333332,4.14,4.206666666666667,-1.3333333333333333,2.7399999999999998,2.953333333333333,-7.0,10.233333333333333,10.3,-0.6666666666666666,4.760000000000001,4.846666666666667,-1.6666666666666667,7617402.333333333,131381.66666666666,6838.0,250.0,234.33333333333334,8.0,0.0,0.043333333333333335,-100.0,1750.3333333333333,1500.0,16.666666666666668,1.3333333333333333,2.6666666666666665,-41.666666666666664,69.0,39.0,78.66666666666667,117.66666666666667,88.66666666666667,38.666666666666664,32.666666666666664,46.666666666666664,-31.666666666666668,156.0,224.33333333333334,-31.666666666666668,,,
2018-10-20,3.450847222222222,0.36323611111111104,4.383131944444441,,10.026611111111109,39.57631944444447,,0.20562499999999997,-0.4066319444444447,0.0,39.1690972222222,9990.0,0.2968810201614287,1,9990,195.0,207.0,-6.0,11905.0,11912.0,0.0,3.66,4.51,-19.0,2.68,2.95,-9.0,10.0,10.3,-3.0,4.84,4.8,1.0,2208004.0,146411.0,1408.0,217.0,217.0,0.0,0.0,0.14,-100.0,1535.0,1531.0,0.0,2.0,2.0,0.0,68.0,64.0,6.0,66.0,90.0,-27.0,28.0,36.0,-22.0,132.0,174.0,-24.0,,,
2018-10-21,3.503708333333332,0.30120138888888887,4.50792361111111,,10.547208333333332,39.55138888888899,,0.05520833333333333,-0.06702083333333334,0.18341666666666662,39.48395833333331,9990.0,0.3953386063064963,2,9990,183.0,185.5,-1.0,28696.0,26809.0,7.0,4.03,4.335,-7.0,2.6500000000000004,2.865,-7.5,9.85,10.25,-4.0,4.875,4.85,0.5,2276642.0,473289.0,438.0,262.0,244.5,7.5,0.0,0.07,-100.0,1748.0,1671.0,8.0,1.5,2.0,-25.0,37.5,49.0,-27.5,154.0,101.5,59.5,47.5,41.0,13.5,227.0,198.0,12.5,,,
2018-10-22,4.861708333333332,0.6331944444444443,4.292805555555555,,10.024513888888892,39.55097222222227,,0.0040416666666666665,-0.25988888888888884,0.06175694444444445,39.29055555555554,9990.0,0.31125232670296654,2,9990,191.5,181.5,8.0,28308.0,26954.0,6.0,4.145,4.21,-1.5,2.935,2.745,7.0,9.850000000000001,10.3,-4.5,4.725,4.875,-3.0,322865.0,477492.5,72.0,241.0,248.0,-2.0,0.0,0.0,,1753.5,1657.5,6.5,1.5,2.5,-41.5,49.5,33.0,61.5,120.0,111.0,10.0,36.5,49.0,-25.0,174.0,236.5,-25.5,,,
2018-10-23,1.7119583333333335,0.1493263888888888,4.294652777777776,,10.135569444444444,39.537152777777834,,0.0022500000000000003,0.017708333333333295,0.16144444444444445,39.55486111111108,9990.0,0.37585889725389054,2,9990,225.5,187.0,22.5,28885.0,27592.0,4.5,3.75,4.195,-11.0,2.785,2.73,2.0,10.15,10.2,-0.5,4.805,4.865,-1.0,3048373.5,654198.0,738.0,272.0,252.0,8.0,0.0,0.0,,1834.0,1697.0,4.0,1.5,2.5,-33.5,44.0,35.5,24.0,129.5,112.5,24.0,36.5,47.5,-23.0,177.0,227.5,-22.0,,,
